ln(510) = 6.0083, error = 0.0376329
ln(511) = 6.0083, error = 0.037959
ln(512) = 6.24023, error = 0.000306035
ln(513) = 6.24219, error = 0.000306245
ln(514) = 6.24414, error = 0.000307066
ln(515) = 6.24609, error = 0.000308497
ln(516) = 6.24805, error = 0.000310537
ln(517) = 6.25, error = 0.00031311
ln(518) = 6.25195, error = 0.000316368
ln(519) = 6.25391, error = 0.000320158
ln(520) = 6.25586, error = 0.000324555
ln(521) = 6.25781, error = 0.000329559
ln(522) = 6.25977, error = 0.00033517
ln(523) = 6.26172, error = 0.000341309
ln(524) = 6.26367, error = 0.000348055
ln(525) = 6.26562, error = 0.000355404
ln(526) = 6.26758, error = 0.000363282
ln(527) = 6.26953, error = 0.000371763
ln(528) = 6.271, error = 0.000302937
ln(529) = 6.27295, error = 0.000312573
ln(530) = 6.2749, error = 0.000322735
ln(531) = 6.27686, error = 0.000333497
ln(532) = 6.27881, error = 0.000344861
ln(533) = 6.28076, error = 0.000356673
ln(534) = 6.28271, error = 0.000369086
ln(535) = 6.28467, error = 0.000382097
ln(536) = 6.28662, error = 0.000395555
ln(537) = 6.28857, error = 0.000409688
ln(538) = 6.29053, error = 0.000424266
ln(539) = 6.29248, error = 0.000439366
ln(540) = 6.29443, error = 0.000455063
ln(541) = 6.29639, error = 0.000471279
ln(542) = 6.29834, error = 0.000488016
ln(543) = 6.30029, error = 0.000505348
ln(544) = 6.30029, error = 0.00021328
ln(545) = 6.30029, error = 7.82582e-05
ln(546) = 6.30078, error = 0.000291667
ln(547) = 6.30273, error = 0.000271982
ln(548) = 6.30469, error = 0.000251855
ln(549) = 6.30664, error = 0.000231136
ln(550) = 6.30859, error = 0.000209976
ln(551) = 6.31055, error = 0.000188225
ln(552) = 6.3125, error = 0.000166034
ln(553) = 6.31445, error = 0.000143328
ln(554) = 6.31641, error = 0.000120108
ln(555) = 6.31836, error = 9.63733e-05
ln(556) = 6.32031, error = 7.21256e-05
ln(557) = 6.32227, error = 4.73649e-05
ln(558) = 6.32422, error = 2.21672e-05
ln(559) = 6.32617, error = 3.54264e-06
ln(560) = 6.32617, error = 0.000278964
ln(561) = 6.32812, error = 0.000252203
ln(562) = 6.33008, error = 0.000224932
ln(563) = 6.33154, error = 0.000274284
ln(564) = 6.3335, error = 0.000246042
ln(565) = 6.33545, error = 0.00021729
ln(566) = 6.3374, error = 0.000188029
ln(567) = 6.33936, error = 0.000158335
ln(568) = 6.34131, error = 0.000128208
ln(569) = 6.34326, error = 9.75736e-05
ln(570) = 6.34521, error = 6.64318e-05
ln(571) = 6.34717, error = 3.48585e-05
ln(572) = 6.34912, error = 2.85391e-06
ln(573) = 6.35107, error = 2.96565e-05
ln(574) = 6.35303, error = 6.26723e-05
ln(575) = 6.35498, error = 9.6043e-05
ln(576) = 6.35498, error = 0.000177379
ln(577) = 6.35693, error = 0.00014297
ln(578) = 6.35889, error = 0.000108057
ln(579) = 6.36084, error = 7.27156e-05
ln(580) = 6.36084, error = 0.000344012
ln(581) = 6.36084, error = 0.000614859
ln(582) = 6.36084, error = 0.000885181
ln(583) = 6.36084, error = 0.00115505
ln(584) = 6.36084, error = 0.00142455
ln(585) = 6.35791, error = 0.0021551
ln(586) = 6.35986, error = 0.00211582
ln(587) = 6.36182, error = 0.0020762
ln(588) = 6.36377, error = 0.00203615
ln(589) = 6.36572, error = 0.0019956
ln(590) = 6.36768, error = 0.0019547
ln(591) = 6.36963, error = 0.0019133
ln(592) = 6.36963, error = 0.00217876
ln(593) = 6.37158, error = 0.0021364
ln(594) = 6.37354, error = 0.0020937
ln(595) = 6.37549, error = 0.0020505
ln(596) = 6.37744, error = 0.00200696
ln(597) = 6.37939, error = 0.00196299
ln(598) = 6.38135, error = 0.0019186
ln(599) = 6.3833, error = 0.00187379
ln(600) = 6.3833, error = 0.0021351
ln(601) = 6.38525, error = 0.00208934
ln(602) = 6.38721, error = 0.00204323
ln(603) = 6.38867, error = 0.00207322
ln(604) = 6.39062, error = 0.00202625
ln(605) = 6.39258, error = 0.00197893
ln(606) = 6.39453, error = 0.00193113
ln(607) = 6.39648, error = 0.00188298
ln(608) = 6.39648, error = 0.00214031
ln(609) = 6.39844, error = 0.00209129
ln(610) = 6.40039, error = 0.00204178
ln(611) = 6.40234, error = 0.00199193
ln(612) = 6.4043, error = 0.00194173
ln(613) = 6.40625, error = 0.00189112
ln(614) = 6.4082, error = 0.0018401
ln(615) = 6.41016, error = 0.00178873
ln(616) = 6.41016, error = 0.00204217
ln(617) = 6.41211, error = 0.00198994
ln(618) = 6.41406, error = 0.00193729
ln(619) = 6.41602, error = 0.0018843
ln(620) = 6.41797, error = 0.00183091
ln(621) = 6.41797, error = 0.00208203
ln(622) = 6.41797, error = 0.00233271
ln(623) = 6.41846, error = 0.00250675
ln(624) = 6.41846, error = 0.00275666
ln(625) = 6.42041, error = 0.00270101
ln(626) = 6.42236, error = 0.00264503
ln(627) = 6.42432, error = 0.00258863
ln(628) = 6.42627, error = 0.00253189
ln(629) = 6.42822, error = 0.00247482
ln(630) = 6.43018, error = 0.00241734
ln(631) = 6.43213, error = 0.00235953
ln(632) = 6.43213, error = 0.00260572
ln(633) = 6.43408, error = 0.00254713
ln(634) = 6.43604, error = 0.00248812
ln(635) = 6.43799, error = 0.00242885
ln(636) = 6.43994, error = 0.00236918
ln(637) = 6.44189, error = 0.00230909
ln(638) = 6.44385, error = 0.00224875
ln(639) = 6.44385, error = 0.00249184
