exp(0) = 1, error = 0
exp(0.437998) = 1.54688, error = 0.0017627
exp(0.438998) = 1.54883, error = 0.0015004
exp(0.439998) = 1.54883, error = 0.00250244
exp(0.440998) = 1.55273, error = 0.000980862
exp(0.441998) = 1.55273, error = 0.0019823
exp(0.442998) = 1.55469, error = 0.00172478
exp(0.443998) = 1.55469, error = 0.00272695
exp(0.444998) = 1.55859, error = 0.00121458
exp(0.445998) = 1.55859, error = 0.00221631
exp(0.446998) = 1.56055, error = 0.00196336
exp(0.447998) = 1.56055, error = 0.00296582
exp(0.448998) = 1.56445, error = 0.00146248
exp(0.449998) = 1.56641, error = 0.00121454
exp(0.450998) = 1.56641, error = 0.00221622
exp(0.451998) = 1.57031, error = 0.000723312
exp(0.452998) = 1.57031, error = 0.00172455
exp(0.453998) = 1.57227, error = 0.00148115
exp(0.454998) = 1.57227, error = 0.00248311
exp(0.455998) = 1.57617, error = 0.000999101
exp(0.456998) = 1.57617, error = 0.00200062
exp(0.457998) = 1.57812, error = 0.00176179
exp(0.458998) = 1.57812, error = 0.00276403
exp(0.459998) = 1.58203, error = 0.00128882
exp(0.460998) = 1.58203, error = 0.00229063
exp(0.461998) = 1.58398, error = 0.00205631
exp(0.462998) = 1.58398, error = 0.00305883
exp(0.463998) = 1.58789, error = 0.00159232
exp(0.464998) = 1.58789, error = 0.00259441
exp(0.465998) = 1.58984, error = 0.00236462
exp(0.466998) = 1.59375, error = 0.000908197
exp(0.467998) = 1.59375, error = 0.00190959
exp(0.468998) = 1.5957, error = 0.00168448
exp(0.469997) = 1.59961, error = 0.00023803
exp(0.470997) = 1.59961, error = 0.00123881
exp(0.471997) = 1.60156, error = 0.00101825
exp(0.472997) = 1.60156, error = 0.00201974
exp(0.473997) = 1.60547, error = 0.000581839
exp(0.474997) = 1.60547, error = 0.0015829
exp(0.475997) = 1.60742, error = 0.0013668
exp(0.476997) = 1.60742, error = 0.00236865
exp(0.477997) = 1.61133, error = 0.000939054
exp(0.478997) = 1.61133, error = 0.00194047
exp(0.479997) = 1.61328, error = 0.00172871
exp(0.480997) = 1.61328, error = 0.00273092
exp(0.481997) = 1.61719, error = 0.00130968
exp(0.482997) = 1.61719, error = 0.00231145
exp(0.483997) = 1.61914, error = 0.00210398
exp(0.484997) = 1.61914, error = 0.00310661
exp(0.485997) = 1.62305, error = 0.00169356
exp(0.486997) = 1.62305, error = 0.00269576
exp(0.487997) = 1.625, error = 0.00249254
exp(0.488997) = 1.625, error = 0.00349551
exp(0.489997) = 1.62891, error = 0.00209064
exp(0.490997) = 1.62891, error = 0.00309325
exp(0.491997) = 1.63086, error = 0.00289431
exp(0.492997) = 1.63086, error = 0.0038977
exp(0.493997) = 1.63477, error = 0.00250084
exp(0.494997) = 1.63477, error = 0.00350387
exp(0.495997) = 1.63672, error = 0.00330915
exp(0.496997) = 1.64258, error = 0.00073039
exp(0.497997) = 1.64258, error = 0.00173163
exp(0.498997) = 1.64453, error = 0.00154291
exp(0.499997) = 1.64453, error = 0.00254492
exp(0.500997) = 1.64844, error = 0.00116994
exp(0.501997) = 1.64844, error = 0.00217159
exp(0.502997) = 1.65039, error = 0.00198707
exp(0.503997) = 1.65039, error = 0.00298957
exp(0.504997) = 1.6543, error = 0.0016223
exp(0.505997) = 1.6543, error = 0.00262444
exp(0.506997) = 1.65625, error = 0.002444
exp(0.507997) = 1.65625, error = 0.00344697
exp(0.508997) = 1.66016, error = 0.00208747
exp(0.509997) = 1.66016, error = 0.00309003
exp(0.510997) = 1.66211, error = 0.00291377
exp(0.511997) = 1.66211, error = 0.00391715
exp(0.512997) = 1.66797, error = 0.00139137
exp(0.513997) = 1.66797, error = 0.00239324
exp(0.514997) = 1.66992, error = 0.00222254
exp(0.515997) = 1.66992, error = 0.0032253
exp(0.516997) = 1.67383, error = 0.0018854
exp(0.517997) = 1.67383, error = 0.00288781
exp(0.518997) = 1.67578, error = 0.00272112
exp(0.519997) = 1.67578, error = 0.00372435
exp(0.520997) = 1.67969, error = 0.00239194
exp(0.521997) = 1.67969, error = 0.00339483
exp(0.522997) = 1.68164, error = 0.00323217
exp(0.523997) = 1.6875, error = 0.000748952
exp(0.524997) = 1.6875, error = 0.00175017
exp(0.525997) = 1.68945, error = 0.00159319
exp(0.526997) = 1.68945, error = 0.0025953
exp(0.527997) = 1.69336, error = 0.00128322
exp(0.528997) = 1.69336, error = 0.00228505
exp(0.529997) = 1.69531, error = 0.00213194
exp(0.530997) = 1.69531, error = 0.00313452
exp(0.531997) = 1.69922, error = 0.00182979
exp(0.532997) = 1.70117, error = 0.00168074
exp(0.533997) = 1.70117, error = 0.00268295
exp(0.534997) = 1.70508, error = 0.00138675
exp(0.535997) = 1.70508, error = 0.00238862
exp(0.536997) = 1.70703, error = 0.00224343
exp(0.537997) = 1.70703, error = 0.00324618
exp(0.538997) = 1.71289, error = 0.000814614
exp(0.539997) = 1.71289, error = 0.00181588
exp(0.540997) = 1.71484, error = 0.00167603
exp(0.541997) = 1.71484, error = 0.00267818
exp(0.542997) = 1.71875, error = 0.00140027
exp(0.543997) = 1.71875, error = 0.00240215
exp(0.544997) = 1.7207, error = 0.00226613
exp(0.545997) = 1.7207, error = 0.00326888
exp(0.546997) = 1.72461, error = 0.00199799
exp(0.547997) = 1.72461, error = 0.00300047
exp(0.548997) = 1.72656, error = 0.00286817
exp(0.549996) = 1.72656, error = 0.00387152
exp(0.550996) = 1.73047, error = 0.00260757
exp(0.551996) = 1.73047, error = 0.00361065
exp(0.552996) = 1.73242, error = 0.00348217
exp(0.553996) = 1.74023, error = 2.33591e-05
exp(0.554996) = 1.74023, error = 0.00097711
exp(0.555996) = 1.74219, error = 0.000855245
exp(0.556996) = 1.74219, error = 0.00185665
exp(0.557996) = 1.74609, error = 0.000615404
exp(0.558996) = 1.74609, error = 0.00161654
exp(0.559996) = 1.74805, error = 0.0014984
exp(0.560996) = 1.74805, error = 0.0025004
exp(0.561996) = 1.75195, error = 0.00126588
exp(0.562996) = 1.75195, error = 0.00226769
exp(0.563996) = 1.75391, error = 0.00215315
exp(0.564996) = 1.75391, error = 0.00315582
exp(0.565996) = 1.75781, error = 0.00192803
exp(0.566996) = 1.75781, error = 0.00293043
exp(0.567996) = 1.75977, error = 0.00281961
exp(0.568996) = 1.75977, error = 0.00382293
exp(0.569996) = 1.76562, error = 0.00149259
exp(0.570996) = 1.76562, error = 0.00249461
exp(0.571996) = 1.76758, error = 0.00238873
exp(0.572996) = 1.76758, error = 0.0033916
exp(0.573996) = 1.77148, error = 0.00218071
exp(0.574996) = 1.77148, error = 0.00318338
exp(0.575996) = 1.77344, error = 0.00308113
exp(0.576996) = 1.77344, error = 0.00408472
exp(0.577996) = 1.7793, error = 0.00177947
exp(0.578996) = 1.7793, error = 0.00278169
exp(0.579996) = 1.78125, error = 0.00268434
exp(0.580996) = 1.78125, error = 0.00368754
exp(0.581996) = 1.78516, error = 0.00249323
exp(0.582996) = 1.78516, error = 0.00349623
exp(0.583996) = 1.79297, error = 0.000123267
exp(0.584996) = 1.79297, error = 0.0011239
exp(0.585996) = 1.79492, error = 0.00103507
exp(0.586996) = 1.79492, error = 0.00203661
exp(0.587996) = 1.79883, error = 0.000860987
exp(0.588996) = 1.79883, error = 0.00186233
exp(0.589996) = 1.80078, error = 0.00177697
exp(0.590996) = 1.80078, error = 0.00277922
exp(0.591996) = 1.80664, error = 0.000527014
exp(0.592996) = 1.80664, error = 0.00152799
